iter	Passed	Remaining
0	2	2778
1	5	2645
2	7	2643
3	10	2660
4	13	2685
5	16	2708
6	19	2784
7	22	2761
8	24	2748
9	27	2745
10	30	2725
11	32	2708
12	34	2642
13	36	2582
14	38	2529
15	40	2480
16	42	2434
17	44	2430
18	47	2426
19	49	2419
20	51	2386
21	53	2356
22	54	2327
23	56	2300
24	58	2275
25	60	2266
26	62	2255
27	64	2234
28	66	2217
29	68	2200
30	69	2182
31	71	2164
32	73	2148
33	75	2140
34	77	2125
35	78	2111
36	80	2099
37	82	2087
38	84	2076
39	86	2064
40	87	2052
41	89	2041
42	91	2040
43	93	2035
44	95	2025
45	97	2017
46	99	2009
47	100	2000
48	102	1992
49	104	1983
50	106	1975
51	108	1971
52	109	1963
53	111	1958
54	113	1950
55	115	1943
56	117	1936
57	118	1930
58	120	1924
59	122	1918
60	124	1917
61	126	1910
62	128	1904
63	129	1898
64	131	1893
65	133	1887
66	135	1882
67	136	1877
68	138	1874
69	140	1869
70	142	1864
71	144	1858
72	145	1852
73	147	1847
74	149	1843
75	151	1837
76	152	1833
77	154	1829
78	156	1825
79	158	1821
80	160	1816
81	161	1813
82	163	1810
83	165	1806
84	167	1802
85	169	1800
86	171	1796
87	173	1793
88	174	1788
89	176	1785
90	178	1781
91	180	1778
92	181	1774
93	183	1771
94	185	1767
95	187	1763
96	189	1760
97	190	1756
98	192	1752
99	194	1749
100	196	1746
101	198	1743
102	200	1746
103	202	1747
104	205	1749
105	207	1749
106	209	1750
107	211	1747
108	213	1744
109	215	1740
110	216	1737
111	218	1734
112	220	1732
113	222	1729
114	224	1731
115	226	1728
116	228	1725
117	230	1722
118	232	1719
119	234	1716
120	236	1715
121	238	1714
122	240	1711
123	241	1708
124	243	1705
125	245	1702
126	247	1699
127	248	1695
128	250	1692
129	252	1692
130	254	1689
131	256	1686
132	258	1683
133	260	1680
134	261	1677
135	263	1674
136	265	1671
137	267	1669
138	269	1667
139	271	1665
140	272	1662
141	274	1659
142	276	1656
143	278	1653
144	279	1650
145	281	1647
146	283	1644
147	285	1642
148	287	1639
149	288	1636
150	290	1633
151	292	1630
152	293	1627
153	295	1624
154	297	1621
155	299	1618
156	300	1615
157	302	1613
158	304	1610
159	306	1607
160	308	1605
161	309	1602
162	311	1599
163	313	1597
164	315	1594
165	317	1592
166	318	1590
167	320	1587
168	322	1584
169	324	1582
170	325	1579
171	327	1576
172	329	1573
173	331	1571
174	333	1570
175	334	1568
176	336	1565
177	338	1563
178	340	1561
179	342	1558
180	343	1556
181	345	1554
182	347	1552
183	349	1550
184	351	1548
185	353	1546
186	355	1543
187	356	1541
188	358	1538
189	360	1536
190	362	1533
191	363	1531
192	366	1530
193	367	1528
194	369	1525
195	371	1523
196	373	1520
197	374	1518
198	376	1516
199	378	1514
200	380	1511
201	382	1509
202	383	1507
203	385	1504
204	387	1502
205	389	1499
206	390	1497
207	392	1495
208	394	1492
209	396	1490
210	398	1488
211	399	1486
212	401	1483
213	403	1481
214	405	1479
215	407	1479
216	409	1478
217	411	1477
218	414	1477
219	416	1476
220	419	1477
221	421	1475
222	422	1473
223	424	1470
224	426	1468
225	428	1465
226	430	1465
227	432	1464
228	434	1462
229	436	1460
230	437	1457
231	439	1455
232	441	1453
233	443	1451
234	445	1449
235	447	1447
236	448	1445
237	450	1442
238	452	1440
239	454	1437
240	455	1435
241	457	1433
242	459	1431
243	461	1429
244	463	1427
245	464	1424
246	466	1422
247	468	1420
248	470	1418
249	472	1416
250	473	1414
251	475	1412
252	477	1409
253	479	1408
254	481	1406
255	483	1404
256	484	1402
257	486	1399
258	488	1397
259	490	1395
260	492	1393
261	494	1391
262	495	1389
263	497	1387
264	499	1385
265	501	1384
266	503	1381
267	505	1380
268	507	1377
269	508	1375
270	510	1374
271	512	1372
272	514	1370
273	516	1368
274	518	1365
275	519	1363
276	521	1361
277	523	1359
278	525	1358
279	527	1356
280	529	1354
281	530	1351
282	532	1349
283	534	1347
284	536	1345
285	538	1343
286	539	1341
287	541	1339
288	543	1337
289	545	1335
290	547	1333
291	549	1331
292	550	1329
293	552	1327
294	554	1325
295	556	1323
296	558	1321
297	560	1319
298	562	1318
299	563	1315
300	565	1313
301	567	1311
302	569	1309
303	571	1307
304	572	1305
305	574	1303
306	576	1301
307	578	1298
308	579	1296
309	581	1294
310	583	1292
311	585	1290
312	586	1288
313	588	1286
314	590	1284
315	592	1282
316	594	1280
317	596	1278
318	597	1276
319	599	1274
320	601	1272
321	603	1270
322	604	1267
323	606	1266
324	608	1263
325	610	1261
326	612	1259
327	613	1257
328	616	1256
329	618	1255
330	620	1254
331	622	1252
332	624	1251
333	627	1250
334	629	1249
335	631	1248
336	633	1245
337	634	1243
338	636	1241
339	638	1239
340	640	1237
341	642	1235
342	644	1233
343	645	1231
344	647	1229
345	649	1227
346	651	1225
347	652	1223
348	655	1222
349	656	1220
350	658	1218
351	660	1215
352	662	1213
353	664	1211
354	665	1209
355	667	1207
356	669	1205
357	671	1204
358	673	1201
359	674	1199
360	676	1197
361	678	1195
362	680	1193
363	681	1191
364	683	1189
365	685	1187
366	687	1185
367	689	1183
368	690	1181
369	692	1179
370	694	1177
371	696	1175
372	698	1173
373	699	1171
374	701	1169
375	703	1167
376	705	1165
377	707	1163
378	708	1161
379	710	1159
380	712	1157
381	714	1155
382	715	1153
383	717	1151
384	719	1149
385	721	1147
386	723	1145
387	725	1143
388	726	1141
389	728	1139
390	730	1137
391	732	1135
392	733	1133
393	735	1131
394	737	1129
395	739	1127
396	741	1125
397	742	1123
398	744	1121
399	746	1119
400	748	1117
401	749	1115
402	751	1113
403	753	1111
404	755	1109
405	757	1107
406	758	1105
407	760	1103
408	762	1101
409	764	1099
410	766	1098
411	768	1096
412	770	1094
413	771	1092
414	773	1090
415	775	1088
416	777	1086
417	778	1084
418	780	1082
419	782	1080
420	784	1078
421	786	1076
422	787	1074
423	789	1072
424	791	1070
425	793	1068
426	794	1066
427	796	1064
428	798	1062
429	800	1060
430	802	1058
431	804	1057
432	805	1055
433	807	1053
